PROYID,PROYCONTABLE,FACTREAL,FACTPLAN,AVANREAL,AVANPLAN,VARFACTU,DEPENDIR,DEPENGER,DEINIDIR,DEINIGER
6261,7193,64631966.27,73390399.08,100,100,-11.17,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE ASISTENCIA TECNOLOGICA,DIMM,GAT
6575,7481,181941544.2,279388643,100,100,-34.31,DIRECCION DE TRANSFERENCIA DE TECNOLOGIA,GERENCIA DE DESARROLLO TECNOLOGICO,DTT,GDT
6694,7575,61465894.53,37475946.17,92.2924,92.2924,65.42,DIRECCION DE TRANSFERENCIA DE TECNOLOGIA,GERENCIA DE DESARROLLO TECNOLOGICO,DTT,GDT
6817,7672,4260700.428,4578230.604,84.3537,89.5408,-6.13,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE INGENIERIA DE MANUFACTURA,DIMM,GMAN
6863,7714,717045.3928,982800,0.7381,0.7381,-26.41,DIRECCION DE TRANSFERENCIA DE TECNOLOGIA,GERENCIA DE DESARROLLO HUMANO,DTT,GDH
6887,7731,0,0,100,100,0,DIRECCION DE ADMINISTRACION,GERENCIA DE RECURSOS HUMANOS,DA,GRH
6889,7737,14534265.79,15812973.38,87.5427,87.5427,-7.29,DIRECCION DE INGENIERIA REGION SUR,GERENCIA REGION MARINA,DIRS,GRM
6896,7743,6568944.721,6625573.543,97.084,100,0,DIRECCION DE INGENIERIA REGION SUR,GERENCIA REGION SUR,DIRS,GRS
6898,7745,25567641.73,24837608.55,85.7477,100,3.82,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE ASISTENCIA TECNOLOGICA,DIMM,GAT
6903,7749,8640027.536,8714428.632,100,100,0,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE INGENIERIA DE MATERIALES,DIMM,GMAT
6906,7752,7619615.173,7020000,66.5722,66.5722,9.47,DIRECCION DE INGENIERIA REGION CENTRO NORTE,GERENCIA REGION NORTE,DIRCN,GRN
6907,7753,284200,1146600,66.5722,66.5722,-75,DIRECCION DE INGENIERIA REGION CENTRO NORTE,GERENCIA REGION NORTE,DIRCN,GRN
6909,7754,3785682.179,5908500,0,49.5845,-35.37,DIRECCION DE INGENIERIA REGION CENTRO NORTE,GERENCIA REGION CENTRO,DIRCN,GRC
6914,7755,6613395.805,4770693.58,66.5722,66.5722,39.82,DIRECCION DE INGENIERIA REGION CENTRO NORTE,GERENCIA REGION NORTE,DIRCN,GRN
6915,7756,1421860.72,2480400,66.5722,66.5722,-42.18,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE INGENIERIA DE MATERIALES,DIMM,GMAT
6916,7757,2876885.724,2617366.518,66.5722,66.5722,10.86,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE INGENIERIA DE MATERIALES,DIMM,GMAT
6917,7758,1708971.183,1516839.457,66.5722,66.5722,13.63,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE INGENIERIA DE MATERIALES,DIMM,GMAT
6920,7759,0,0,49.5751,66.5722,0,DIRECCION DE ADMINISTRACION,GERENCIA DE TECNOLOGIAS DE INFORMACION Y COMUNICACIONES,DA,GTIC
6922,7760,238500.8952,160371.2916,41.3598,66.5722,50,DIRECCION DE ADMINISTRACION,GERENCIA DE TECNOLOGIAS DE INFORMACION Y COMUNICACIONES,DA,GTIC
6918,7761,5272066.101,3627000,44.6384,44.6384,46.6,DIRECCION DE TRANSFERENCIA DE TECNOLOGIA,GERENCIA DE DESARROLLO TECNOLOGICO,DTT,GDT
6912,7762,0,0,66.3889,66.3889,0,DIRECCION DE TRANSFERENCIA DE TECNOLOGIA,GERENCIA DE DESARROLLO HUMANO,DTT,GDH
6908,7763,0,0,0,0,0,DIRECCION DE ADMINISTRACION,GERENCIA DE RECURSOS MATERIALES,DA,GREM
6911,7764,0,0,0,0,0,DIRECCION DE ADMINISTRACION,GERENCIA DE RECURSOS MATERIALES,DA,GREM
6910,7765,54640.9648,0,10.4049,10.4049,-100,DIRECCION DE TRANSFERENCIA DE TECNOLOGIA,GERENCIA DE DESARROLLO HUMANO,DTT,GDH
6925,7767,0,0,0,0,0,DIRECCION DE ADMINISTRACION,GERENCIA DE FINANZAS,DA,GF
6924,7768,0,0,0,0,0,DIRECCION DE ADMINISTRACION,GERENCIA DE RECURSOS HUMANOS,DA,GRH
6921,7769,0,0,49.5751,66.5722,0,DIRECCION DE ADMINISTRACION,GERENCIA DE TECNOLOGIAS DE INFORMACION Y COMUNICACIONES,DA,GTIC
6913,7770,0,0,41.3598,66.5722,0,ORGANO INTERNO DE CONTROL,"GERENCIA DE AUDITORIA INTERNA, CONTROL Y EVALUACION",OIC,GAIC
6923,7771,0,0,5.7471,15.9875,0,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE CALIDAD,DIMM,GC
6926,7772,0,23400000,0,18.5226,-100,DIRECCION DE TRANSFERENCIA DE TECNOLOGIA,GERENCIA DE DESARROLLO TECNOLOGICO,DTT,GDT
6927,7773,1594230.92,1607974.29,100,62.5709,0,DIRECCION DE INGENIERIA REGION SUR,GERENCIA REGION SUR,DIRS,GRS
6929,7774,0,0,0,0,0,DIRECCION DE ADMINISTRACION,GERENCIA DE RECURSOS HUMANOS,DA,GRH
6930,7775,48918944.56,39559071.3,32.6633,32.6633,24.72,DIRECCION DE ADMINISTRACION,GERENCIA DE TECNOLOGIAS DE INFORMACION Y COMUNICACIONES,DA,GTIC
6931,7776,0,0,0,0,0,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE CALIDAD,DIMM,GC
6932,7777,204763.2,192582,18.8679,18.8679,7.24,DIRECCION DE TRANSFERENCIA DE TECNOLOGIA,GERENCIA DE DESARROLLO HUMANO,DTT,GDH
6933,7778,2824465.301,2848814.14,41.1765,41.1765,0,DIRECCION DE INGENIERIA MATS Y MANUF,GERENCIA DE INGENIERIA DE MANUFACTURA,DIMM,GMAN
6935,7779,2528933.76,2928418.74,52.988,52.988,-12.89,DIRECCION DE INGENIERIA REGION SUR,GERENCIA REGION SUR,DIRS,GRS
6937,7780,1676983.476,1404000,65.0602,118.0723,20.47,DIRECCION DE INGENIERIA REGION SUR,GERENCIA REGION SUR,DIRS,GRS
